What is the English word for 'знакомство'?;acquaintance
How do you say 'приезд' in English?;arrival
Translate 'приветствие' to English.;greeting
How do you say 'My name is' in Russian?;Меня зовут… (Minya zavut…)
Where did the person come from according to the text?;Lebanon (Ливана)
What language does the person speak according to the text?;English (английски)
How do you say 'Good evening' in Russian?;Добрый вечер!
How do you ask 'How are you?' in Russian?;Как Вы поживаете?
How do you say 'Good-bye' in Russian?;До свидания!
How do you say 'I wish you good luck!' in Russian?;Желаю успеха!
What is the Russian translation for 'Have a nice day!'?;Хорошего дня!
What are the translations for 'May I…?' in Russian?;Разрешите …? спросить войти пройти
What does 'Разрешите …?' mean?;May I…?
What does 'войти' mean?;to enter
What does 'пожалуйста' mean?;please
What is the English translation of 'покажите'?;show
How do you say 'объясните' in English?;explain
What is the transcription of 'дайте' in English?;give
What do you want?;Что Вы говорите? Shto vi khatitye?
Can you help me?;Можете ли Вы мне помочь? Mogete li vu mne pamoch?
I have no objection.;Не возражаю. Ni-vazrazhayu.
How do you say 'I don’t agree with you' in Russian?;Я не согласен в Вами.
What is the Russian phrase for 'Excuse me, please'?;Извините, пожалуйста.
How do you express 'Thank you' in Russian?;Спасибо.
What are some ways to express gratitude in English?;help, advice, invitation, attention, congratulations
How do you say 'Thank you for your help' in Russian?;Спасибо за помощь
Translate 'hour' and 'half an hour' into Russian.;час, полчаса
What is the Russian word for 'half an hour'?;полчаса
How do you say 'week' in Russian?;неделя
What is the translation of 'year' in Russian?;год
What is the Russian translation and transcription for 'century'?;век (vyek)
How do you say 'morning' in Russian and its transcription?;утро (utra)
What is the Russian translation and transcription for 'afternoon'?;день (dyen)
What is the Russian word for 'tomorrow'?;завтра (zavtra)
How do you say 'What time is it?' in Russian?;Который час? (Katory chas?)
How do you say 'It is still early' in Russian?;Еще рано (Yeshcho rana)
What date is it today?;Какое сегодня число? Kakoye sivodnya chislo?
my watch… is slow;мои часы… отстают mai chisi… atstayut
my watch… is fast;мои часы… спешат mai chisi… spishat
What is the Russian translation for 'bill'?;счет (shchot)
What is the Ukrainian translation for 'blanket'?;одеяло (adiyala)
What is the French translation for 'buffet'?;буфет (bufyet)
What is the Russian translation for 'mail'?;почта
How do you say 'pillow' in Russian?;подушка
What is the transcription for 'reservation' in Russian?;bron’
Which is the way to the … hotel?;Как проехать в гостиницу …?
Give me the address of the …hotel, please…;Дайте, пожалуйста, адрес гостиницы …
How do you say 'Please, reserve a room at the hotel' in Russian?;Забронируйте, пожалуйста, номер в гостинице.
What is the translation of 'Have you any accommodation?' in Russian?;У вас есть свободные номера?
How do you say 'My surname is …' in Russian?;Моя фамилия …
What do you say for a single room in Russian?;номер для одного
How do you ask if the room has a bath or shower in Russian?;В номере есть ванная (душ)
In Russian, how do you ask about the floor of a room?;На каком этаже этот номер?
Na kakom etazhe etat nomir?;I’d like to have a room upstairs (downstairs).
Skol’ka stoit etat nomir?;How much does this room cost?
Входит ли завтрак в стоимость номера?;Does the price of this room include breakfast?
Входит ли завтрак в стоимость номера?;Fkhodit li zaftrak f stoimas’t nomira?
May I see this room?;Можно посмотреть этот номер? Mozhna pasmatryet’ etat nomir?
Do you have a … room?;Есть ли у вас номер...? Yest’ li  u vas nomir ...?
How do you say 'bigger' in Russian?;побольше (pomol'she)
What is the Russian word for 'better'?;получше (podeshyeve)
Where can you find the currency exchange?;Скажите, пожалуйста, где обмен валюты? (Skazhitye, pazhalusta, gdye abmyen valyuti?)
Where can I buy wine?;Где можно купить вино?
Where can I buy fruit?;Где можно купить фрукты?
Where can I buy clothes?;Где можно купить одежду?
Where can I buy sports goods?;спорттовары
How can I get to the cinema?;Как доехать до кинотеатра?
Speak louder, please.;Говорите, пожалуйста, громче.
How do you say 'this afternoon' in Russian?;сегодня днем
How do you ask for the bill to be ready in Russian?;Приготовьте, пожалуйста, счет.
How do you request a taxi in Russian?;Вызовите мне, пожалуйста, такси.
How do you say 'I'll be ready in about five (ten) minutes' in Russian?;Я буду готов ( -а) через пять (десять) минут.
What is 'blood pressure' in Russian?;давление
How do you say 'high pressure' in Russian?;повышенное давление
What is the Russian word for 'flu'?;грипп
How do you say 'food poisoning' in Russian?;пищевое отравление
What is the English translation of 'насморк'?;running nose
What is the English translation for 'инфекционное заболевание'?;infectious disease
How do you say 'воспаление' in English?;inflammation
What is the Russian word for 'wound'?;рана
What is the Russian word for 'wound'?;рана (rana)
How do you say 'nurse' in Russian?;медсестра (myetsistra)
In Russian, what is the term for 'physician'?;терапевт (tirapyeft)
What is the Russian word for 'head'?;голова / galava
What is the Russian word for 'heart'?;сердце / syertse
What is the Russian word for 'kidneys'?;почки / pochki
What is the Russian translation and transcription for 'tooth'?;зуб zup
How do you say 'I feel ill' in Russian with transcription?;Мне нездоровится. Mne nezdarovitsa.
Provide the Russian phrase and transcription for 'Please, call an ambulance.';Вызовите, пожалуйста, скорую помощь. Vizavitye, pazhalusta, skoruyu pomashch.
How do you say 'Put your clothes on' in Russian?;Разденьтесь.
How do you say 'Show me your tongue' in Russian?;Покажите мне язык.
How do you say 'Lie on your back' in Russian?;Лягте на спину (живот).
What does 'Нет ничего страшного!' mean in English?;There is nothing dangerous at all!
How do you say 'Come to see me next week!' in Russian?;Приходите ко мне через неделю!
Translate 'Где ближайшая аптека?' into English.;Where is the nearest drugstore?
How to take these pills (drops)?;Как принимать эти таблетки (капли)?
