Who are the authors of the paper 'Attention Is All You Need'?;Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones
What organization is Ashish Vaswani affiliated with?;Google Brain
What is the email address of Noam Shazeer?;noam@google.com
Who is the author with email usz@google.com?;Google Research
Who is the author with email llion@google.com?;Llion Jones
Where is Aidan N. Gomez affiliated with?;University of Toronto
What is the new network architecture proposed in the text?;Transformer
What does the Transformer network architecture rely on?;Attention mechanisms
What are the benefits of the Transformer network architecture mentioned in the text?;Superior quality, more parallelizable, and requiring significantly less
What BLEU score did the model achieve on the WMT 2014 English-to-German translation task?;28.4
How much did the model improve over the existing best results on the English-to-German translation task?;over 2 BLEU
What was the BLEU score achieved by the model on the WMT 2014 English-to-French translation task?;41.8
What did Jakob propose replacing with self-attention?;RNNs
What tasks was the Transformer model successfully applied to?;English constituency parsing
What is the finding regarding the Transformer's generalization to other tasks?;It generalizes well
Who designed and implemented the first Transformer models?;Ashish, with Illia
What did Noam propose in relation to attention mechanisms?;scaled dot-product attention, multi-head attention
What contribution did Noam make to position representation?;parameter-free position representation
What did Niki do in the original codebase and tensor2tensor?;designed, implemented, tuned, and evaluated countless model variants
What was Llion responsible for?;experimenting with novel model variants, initial codebase, efficient inference, and visualizations
What did Lukasz and Aidan spend long days doing?;designing various parts of the project
What did implementing tensor2tensor do for the research?;Greatly improved results and massively accelerated the research.
Where was the work performed?;At Google Brain and Google Research.
Where was the 31st Conference on Neural Information Processing Systems (NIPS 2017) held?;Long Beach, CA, USA.
What are some state-of-the-art approaches in sequence modeling and transduction problems?;Recurrent neural networks, long short-term memory, and gated recurrent neural networks
In what areas have recurrent neural networks, long short-term memory, and gated recurrent neural networks been established as state of the art?;Sequence modeling and transduction problems such as language modeling and machine translation
What is the significance of recurrent neural networks, long short-term memory, and gated recurrent neural networks in the field of sequence modeling?;They have been firmly established as state of the art approaches
What have efforts continued to push the boundaries of?;Recurrent language models and encoder-decoder architectures
How do recurrent models typically factor computation?;Along the symbol positions of the input and output sequences
In what way do recurrent models align positions to steps in computation time?;By generating a sequence of hidden
What is the function of the hidden state ht in a sequential model?;The hidden state ht is a function of the previous hidden state ht−1 and the input for position t.
Why is parallelization difficult in training examples with a sequential nature?;The sequential nature of the model precludes parallelization within training examples.
Why do memory constraints limit batching across examples at longer sequence lengths?;Memory constraints limit batching across examples at longer sequence lengths because of the sequential nature of the model.
What are some techniques that have led to significant improvements in computational efficiency?;Factorization tricks and conditional computation.
What has become an integral part of compelling sequence modeling and transduction?;Attention mechanisms.
What fundamental constraint remains despite improvements in computational efficiency?;The constraint of sequential computation.
What is the proposed model architecture in the text chunk?;Transformer
What does the Transformer model architecture eschew?;Recurrence
What is used in conjunction with attention mechanisms in most cases?;Recurrent network
What allows for significantly more parallelization and can reach a new state of the art in translation quality?;The Transformer
How long does it take for the Transformer to reach a new state of the art in translation quality after being trained on eight P100 GPUs?;as little as twelve hours
What forms the foundation of the Extended Neural GPU?;The goal of reducing sequential computation
What are some models that use convolutional neural networks as basic building blocks?;ByteNet, ConvS2S
What do ByteNet, ConvS2S, and other models do with convolutional neural networks?;Compute hidden representations in parallel for all input and output positions
How do the number of operations required to relate signals from two arbitrary input or output positions behave in these models?;They grow
What is the difference in distance handling between ConvS2S and ByteNet?;Linear for ConvS2S and logarithmically for ByteNet.
Why is it more difficult to learn dependencies between distant positions in ConvS2S and ByteNet?;Due to the handling of distance, which is linear for ConvS2S and logarithmically for ByteNet.
How does the Transformer address the issue of learning dependencies between distant positions?;By reducing it to a constant number of operations, although at the cost of reduced effective resolution.
What is self-attention also known as?;Intra-attention
What does self-attention do in relation to a single sequence?;Relates different positions to compute a representation
Name some tasks where self-attention has been successfully used.;Reading comprehension, abstractive summarization
What are end-to-end memory networks based on?;Recurrent attention mechanism
What tasks have end-to-end memory networks been shown to perform well on?;Simple-language question answering and language modeling tasks
What type of recurrence do end-to-end memory networks use?;Not sequence-aligned recurrence
What is the Transformer model relying entirely on to compute representations of its input and output?;Self-attention
What does the Transformer model not use for computing representations?;Sequence-aligned RNNs or convolution
What will be described and motivated in the following sections?;The Transformer model
What is the typical structure of competitive neural sequence transduction models?;Most competitive neural sequence transduction models have an encoder-decoder structure.
What is the role of the encoder in the encoder-decoder structure?;The encoder maps an input sequence of symbol representations to a sequence of continuous representations.
What does the decoder do in the encoder-decoder structure?;Given the continuous representations from the encoder, the decoder generates an output.
What is the process of generating symbols in a sequence?;Generating symbols in a sequence involves producing one element at a time.
What does an auto-regressive model do during generation?;An auto-regressive model consumes previously generated symbols as additional input when producing the next symbol.
How does an auto-regressive model operate in sequence generation?;An auto-regressive model generates symbols one at a time, using the previously generated symbols as input for the next symbol.
What is the overall architecture of the Transformer model?;The Transformer model uses stacked self-attention and point-wise, fully connected layers for both the encoder and decoder.
How many identical layers are there in the encoder of the Transformer?;The encoder consists of a stack of N = 6 identical layers.
What is the structure of each layer in the encoder of the Transformer?;Each layer in the encoder has two components.
What are the two sub-layers in the described mechanism?;The first is a multi-head self-attention mechanism, and the second is a simple, position-wise fully connected feed-forward network.
What is employed around each of the two sub-layers?;A residual connection.
What follows the residual connection around each sub-layer?;Layer normalization.
What is the dimension of the outputs produced by all sub-layers in the model and the embedding layers?;dmodel = 512
How many identical layers compose the decoder in this model?;N = 6
What additional sub-layer does the decoder insert in each encoder layer?;A third sub-layer performing multi-head
What is employed around each of the sub-layers in the encoder stack?;Residual connections followed by layer normalization
How is the self-attention sub-layer in the decoder stack modified?;To prevent positions from attending to subsequent positions
What ensures that positions do not attend to subsequent positions in the decoder stack?;Masking combined with the fact that the output embeddings are offset by one position
What can predictions for position i depend on?;Predictions for position i can depend only on the known outputs at positions less than i.
How can an attention function be described?;An attention function can be described as mapping a query and a set of key-value pairs to an output, where the query, keys, values, and output are all vectors.
How is the output computed in an attention function?;The output is computed as a weighted sum.
What is Scaled Dot-Product Attention?;It is an attention mechanism where the weight assigned to each value is computed by a compatibility function of the query with the corresponding key.
What does Multi-Head Attention consist of?;Multi-Head Attention consists of several attention layers running in parallel.
What is the key feature of Scaled Dot-Product Attention?;The key feature is the computation of weights for values based on the compatibility function of the query with the corresponding key.
What is the name of the attention mechanism described in the text chunk?;Scaled Dot-Product Attention
What are the dimensions of the keys and queries in the Scaled Dot-Product Attention?;dk
What function is applied to obtain the weights on the values in Scaled Dot-Product Attention?;softmax
What are the matrices used in computing the attention function?;Matrices Q, K, and V
What is the formula for computing the matrix of outputs in the attention function?;Attention(Q, K, V) = softmax(QKT / √dk) V
What are the two most commonly used attention functions?;Additive attention and dot-product
What is the scaling factor for dot-product attention?;1/sqrt(dk)
How does additive attention compute the compatibility function?;Using a feed-forward network with a single hidden layer
In terms of theoretical complexity, how do dot-product attention and additive attention compare?;They are similar
What mechanism can be implemented using highly optimized matrix multiplication code?;Additive attention
For small values of dk, which mechanism performs similarly?;Additive attention and dot product attention without scaling
For larger values of dk, which mechanism outperforms the other?;Additive attention outperforms dot product attention without scaling
What effect can large dot products have on the softmax function?;Pushing the softmax function into regions with extremely small gradients.
How do we counteract the effect of large dot products in the softmax function?;By scaling the dot products by 1/sqrt(dk).
What is the approach in Multi-Head Attention instead of using a single attention function?;Using multiple attention functions with dmodel-dimensional keys, values, and queries.
What is the benefit of linearly projecting queries, keys, and values with different learned linear projections?;To project them to different dimensions (dk, dk, dv) before performing the attention function.
What dimensions are queries projected to?;dk
What dimensions are keys and values projected to?;dk and dv, respectively
What are the components of q and k assumed to be in this illustration?;Independent random variables with mean 0 and variance 1.
What is the mean of the dot product q · k in this scenario?;0.
What is the variance of the dot product q · k in this scenario?;dk.
What is the purpose of multi-head attention in a model?;To jointly attend to information from different representation subspaces at different positions.
How does having multiple attention heads differ from a single attention head?;Multiple attention heads allow for attending to information from different subspaces simultaneously, while a single head averages the attention.
What is the formula for MultiHead(Q, K, V) in the context of multi-head attention?;MultiHead(Q, K, V) = Concat(head1, ...,headh)WO, where headi = Attention(QWQi, KWKi)
How many parallel attention layers are employed in this work?;h = 8
What are the dimensions used for dk, dv, and dmodel in each attention head?;dk = dv = dmodel/h = 64
What is the total computational cost benefit of using reduced dimensions in each head?;Reduced computational cost
What type of attention does the Transformer model use?;The Transformer model uses multi-head attention.
In what three different ways does the Transformer use multi-head attention?;The Transformer uses multi-head attention in 'encoder-decoder attention' layers, 'self-attention' layers, and 'position-wise feed-forward networks.'
Where do the queries come from in the 'encoder-decoder attention' layers of the Transformer model?;In 'encoder-decoder attention' layers, the queries come from the previous decoder layer.
What is the purpose of the attention mechanism in the decoder of a sequence-to-sequence model?;To attend over all positions in the input sequence.
What is contained in the encoder of a sequence-to-sequence model?;Self-attention layers.
Where do the keys, values, and queries come from in a self-attention layer?;They all come from the same place, which is the output of the previous layer.
What can each position in the encoder attend to?;All positions in the previous layer of the encoder.
What do self-attention layers in the decoder allow each position to attend to?;All positions in the decoder up to and including that position.
Why do we need to prevent leftward information flow in the decoder?;To preserve the auto-regressive property.
What values are masked out in the scaled dot-product attention?;All values in the input of the softmax which correspond to illegal connections.
What is included in each layer of the encoder and decoder besides attention sub-layers?;Each layer contains a fully Position-wise Feed-Forward Networks.
What is a connected feed-forward network?;A network that is applied to each position separately and identically.
What does the FFN function consist of?;Two linear transformations with a ReLU activation in between.
Are the linear transformations the same across different positions?;Yes, they are the same but use different parameters.
What is the dimensionality of the input and output in the described model?;dmodel = 512
What is the dimensionality of the inner-layer in the described model?;dff = 2048
What is used to convert the input in the described model?;learned embeddings
What is used to convert tokens and output tokens to vectors of dimension dmodel?;Learned linear transformation
What function is used to convert the decoder output to predicted next-token probabilities?;Softmax function
In the model described, what weight matrix is shared between the two embedding layers and the pre-softmax?;Same weight matrix
What do we do in the embedding layers?;Multiply weights by √dmodel.
What is the purpose of multiplying weights by √dmodel?;To perform a linear transformation.
What is the similarity mentioned in the text chunk?;Similar to [30].
What is the complexity per layer for Self-Attention?;O(n^2 * d)
What is the minimum number of sequential operations for Self-Attention?;O(1)
What is the maximum path length for Self-Attention?;O(1)
What is the time complexity of Self-Attention operation in terms of O notation?;O(n^2 * d)
What is the space complexity of Recurrent operation in terms of O notation?;O(n)
What is the time complexity of Convolutional operation in terms of O notation?;O(k * n * d^2)
What are added to the input embeddings at the bottoms of the encoder and decoder stacks?;positional encodings
What is the dimension of the positional encodings used in this work?;dmodel
What functions of different frequencies are used in this work for positional encodings?;sine and cosine functions
What is the formula for calculating the positional encoding for even dimensions?;P E(pos,2i) = sin(pos/10000*2i/dmodel)
What is the formula for calculating the positional encoding for odd dimensions?;P E(pos,2i+1) = cos(pos/10000*2i/dmodel)
Why was the chosen positional encoding function a combination of sine and cosine waves?;To allow the model to easily learn to attend by utilizing sinusoidal patterns.
What did the experimenters find when using learned positional embeddings instead of relative positions?;They found that the two versions produced nearly identical results.
What did the experimenters choose in terms of positional embeddings?;They chose the sinusoidal version.
How did the experimenters compare the results of using learned positional embeddings and relative positions?;They found that the two versions produced nearly identical results.
Why is self-attention used in models?;It may allow the model to extrapolate to sequence lengths longer than the ones encountered during training.
What is compared in the section regarding self-attention layers?;Various aspects of self-attention layers are compared to recurrent and convolutional layers commonly used for mapping variable-length sequence of symbol representations.
What is one desideratum considered when using self-attention?;Total computational complexity per layer.
What is another desideratum considered when using self-attention?;Amount of computation per layer.
How many desiderata are mentioned in the text chunk?;Three.
What is the third factor mentioned in the text?;The path length between long-range dependencies in the network.
Why is learning long-range dependencies considered a key challenge in many sequence transduction tasks?;Learning long-range dependencies is a key challenge due to the length of the paths forward and backward signals have to traverse.
How can the ability to learn long-range dependencies be affected?;The ability to learn long-range dependencies can be affected by the length of the paths forward and backward signals have to traverse.
Why is it important to have shorter paths between positions in input and output sequences in a network?;It is easier to learn long-range dependencies.
What is compared to evaluate the ease of learning long-range dependencies in networks?;The maximum path length between any two input and output positions.
What is considered when comparing different layer types in networks?;The maximum path length between input and output positions.
What is the computational complexity comparison between self-attention and recurrent layers?;Self-attention layers are faster than recurrent layers.
How does a self-attention layer connect positions in a sequence?;A self-attention layer connects all positions with a constant number of sequentially executed operations.
What is the sequential operation requirement for a recurrent layer?;A recurrent layer requires O(n) sequential operations.
What is the typical relationship between the length n and representation dimensionality d in sentence representations used by state-of-the-art models in machine translations?;Length n is smaller than the representation dimensionality d.
What are some examples of sentence representations used by state-of-the-art models in machine translations?;Word-piece and byte-pair representations.
How can computational performance be improved for tasks involving very long sequences?;By restricting self-attention to considering only a neighborhood of size r.
What is the potential increase in maximum path length by centering the input sequence around the respective output position?;O(n/r)
How many convolutional layers are required with kernel width k < n to connect all pairs of input and output positions?;O(n/k)
In the case of contiguous kernels, how many convolutional layers are needed to connect all pairs of input and output positions?;O(n/k)
What is the time complexity of dilated convolutions?;O(logk(n))
How does the complexity of convolutional layers compare to recurrent layers?;Convolutional layers are generally more expensive by a factor of k.
How does separable convolutions affect complexity compared to regular convolutions?;Separable convolutions decrease the complexity considerably.
What is convolution equal to in the model?;The combination of a self-attention layer and a point-wise feed-forward layer.
What is a side benefit of using self-attention in the model?;It could yield more interpretable models.
What can be inspected from the models to present and discuss examples?;Attention distributions.
What dataset did the models in the text chunk train on?;WMT 2014 English-German dataset
How many tasks can heads clearly learn to perform?;different tasks
What does the behavior of many heads appear to be related to?;syntactic and semantic structure of the sentences
What encoding method was used to encode the sentences?;byte-pair encoding
How many tokens are in the shared source-target vocabulary?;about 37000
What dataset was used for English-French translation?;WMT 2014 English-French dataset
What was the size of the sentence pairs in the batch?;Approximately 25000 source tokens and 25000 target tokens.
How many NVIDIA P100 GPUs were used for training?;8 GPUs
How long did each training step take for the base models?;About 0.4 seconds.
How many steps were the base models trained for?;100,000 steps
What was the step time for the big models?;1.0 seconds
Which optimizer was used in the training process?;Adam optimizer
What is the formula for the learning rate in the provided text chunk?;lrate = d−0.5
How is the learning rate adjusted during training in relation to warmup steps?;Increasing linearly for the first warmup_steps training steps, and decreasing proportionally to the inverse square root of the step number thereafter.
How many types of regularization are employed during training according to the text chunk?;Three types of regularization
Which model achieves better BLEU scores than previous state-of-the-art models on the English-to-German and English-to-French newstest2014 tests?;The Transformer
At what fraction of the training cost does the Transformer achieve better BLEU scores?;A fraction of the training cost
What are the BLEU scores for ByteNet, Deep-Att + PosUnk, and GNMT + RL models on the English-to-German and English-to-French tests?;ByteNet: 23.75, Deep-Att + PosUnk: 39.2, GNMT + RL: 24.6 (EN-DE), 39.92 (EN-FR)
What is the performance of GNMT + RL?;24.6 BLEU, 39.92 chrF, 2.3e19 parameters, 1.4e20 FLOPs
What is the performance of ConvS2S?;25.16 BLEU, 40.46 chrF, 9.6e18 parameters, 1.5e20 FLOPs
What is the performance of MoE?;26.03 BLEU, 40.56 chrF, 2.0e19 parameters, 1.2e20 FLOPs
What is the purpose of applying dropout in the Transformer model?;To prevent overfitting and improve generalization by randomly dropping connections during training.
Where is dropout applied in the Transformer model?;Dropout is applied to the output of each sub-layer, before it is added to the sub-layer input and normalized. It is also applied to the sums of the embeddings and positional encodings in both the encoder and decoder stacks.
What dropout rate is used for the base model in the Transformer?;A dropout rate of Pdrop = 0.1 is used for the base model in the Transformer.
What is the value of label smoothing employed during training?;0.1
How does label smoothing affect perplexity?;It hurts perplexity as the model learns to be more unsure.
What improvements are seen due to label smoothing?;It improves accuracy and BLEU score.
What BLEU score did the model in Table 2 achieve?;28.4
How many days did the training of the model take?;3.5 days
How many GPUs were used for training?;8 P100 GPUs
What BLEU score did the big model achieve on the WMT 2014 English-to-French translation task?;41.0
How does the big model perform compared to previously published single models?;Outperforms all
What was the dropout rate used in training the Transformer (big) model for English-to-French translation?;0.1
What is the dropout rate used in the model?;0.1
How many checkpoints were averaged for the base models?;5
What beam size was used in the beam search?;4
What was the maximum output length set to during inference?;input length + 50
What does Table 2 summarize?;results and compares translation quality and training costs
What was estimated in terms of floating point operations used for training?;number of floating point operations
How can the model be estimated?;By multiplying the training time, the number of GPUs used, and an estimate of the sustained single-precision floating-point capacity of each GPU.
What is done to evaluate the importance of different components of the Transformer?;The base model is varied in different ways, measuring the change in performance on English-to-German translation.
What is the purpose of varying the base model in different ways?;To measure the change in performance on English-to-German translation and evaluate the importance of different components of the Transformer.
What are the values of TFLOPS for K80, K40, M40, and P100?;2.8, 3.7, 6.0, and 9.5 TFLOPS, respectively
What is the purpose of the listed perplexities in Table 3?;Per-wordpiece perplexities are listed in Table 3 for the English-to-German translation development set, newstest2013.
What should not be compared to per-word perplexities according to the text chunk?;Per-wordpiece perplexities listed in Table 3 should not be compared to per-word perplexities.
What does the abbreviation 'PPL' stand for in Table 3?;PPL in Table 3 stands for perplexity.
What are the parameters for model (A)?;"1 512 512 5.29 24.9
4 128 128 5.00 25.5
16 32 32 4.91 25.8
32 16 16 5.01 25.4"
What are the parameters for model (B)?;"16 5.16 25.1 58
32 5.01 25.4 60"
What are the parameters for model (C)?;"2 6.11 23.7 36
4 5.19 25.3 50
8 4.88 25.5 80
256 32 32 5.75 24.5 28
1024 128 128 4.66 26.0 168
1024 5.12 25.4 53
4096 4.75 26.2 90"
What type of positional embedding is used instead of sinusoids?;Embedding
What method was used for decoding in the development set?;Beam search
Was checkpoint averaging used in the presented results?;No
What is the impact of using single-head attention compared to the best setting?;Single-head attention is 0.9 BLEU worse than the best setting.
What happens to the quality when there are too many attention heads?;Quality drops off with too many heads.
How does reducing the attention key size affect model quality?;Reducing the attention key size hurts model quality.
What does the text suggest about determining compatibility?;It suggests that determining compatibility is not easy and that a more sophisticated compatibility function than dot product may be beneficial.
What observation is made about bigger models in rows (C) and (D)?;The observation is that, as expected, bigger models are better.
What is the role of dropout in avoiding over-fitting according to the text?;Dropout is very helpful in avoiding over-fitting.
What type of positional encoding is used in the experiments?;sinusoidal positional encoding with learned positional embeddings
What task was used to evaluate if the Transformer can generalize to other tasks?;English constituency parsing
What challenges does English constituency parsing present?;the output is subject to strong structural
What is the issue with RNN sequence-to-sequence models?;They have not been able to attain state-of-the-art results in small-data regimes.
What type of transformer was trained on the Wall Street Journal portion of the Penn Treebank?;A 4-layer transformer with dmodel = 1024.
How many training sentences were used for training the transformer on the Wall Street Journal portion of the Penn Treebank?;About 40K training sentences.
What was the vocabulary size used for the WSJ only setting?;16K tokens
What was the vocabulary size used for the semi-supervised setting?;32K tokens
How was the dropout selection process described in the text?;Performed only a small number of experiments
What parameters were changed during the evaluation?;learning rates and beam size
Which set was used for evaluation?;Section 22 development set
What remained unchanged from the base translation model?;all other parameters
Which model achieved an F1 score of 88.3 on English constituency parsing?;Vinyals & Kaiser el al. (2014)
Which model achieved an F1 score of 90.4 on English constituency parsing?;['Petrov et al. (2006)', 'Zhu et al. (2013)']
Which model achieved the highest F1 score of 91.7 on English constituency parsing?;Dyer et al. (2016)
What is the accuracy of the Transformer model with 4 layers trained on Wall Street Journal (WSJ) data using discriminative training?;91.3
What is the accuracy of the Transformer model with 4 layers trained on semi-supervised learning?;92.7
Which model achieved an accuracy of 93.3 by using generative training?;Dyer et al. (2016) [8]
What was the maximum output length increased to in Dyer et al. (2016)?;input length + 300
What beam size was used in the experiments by Dyer et al. (2016)?;21
What value was used for α in the experiments by Dyer et al. (2016)?;0.3
What is the Transformer model based on?;sequence transduction
What does the Transformer outperform even when trained on a smaller dataset?;Berkeley-Parser
How many sentences are in the WSJ training set used for training the Transformer?;40K
What is commonly used in encoder-decoder architectures?;Recurrent layers
What does the Transformer replace recurrent layers with?;Multi-headed self-attention
In translation tasks, how does the training speed of Transformer compare to architectures based on recurrent or convolutional layers?;The Transformer can be trained significantly faster
What tasks do we achieve a new state of the art in?;English-to-French translation tasks
What do we plan to apply attention-based models to?;Other tasks
What do we plan to extend the Transformer to?;Problems involving input and output modalities other than text
What is one research goal mentioned in the text?;Making generation less sequential
What type of inputs and outputs are mentioned in the text?;Images, audio, and video
Where can the code used to train and evaluate the models be found?;https://github.com/tensorflow/tensor2tensor
Who are Nal Kalchbrenner and Stephan Gouws?;They are individuals who provided comments, corrections, and inspiration.
What is the title of the paper referenced as [1]?;Layer normalization.
Who are the authors of the paper referenced as [2]?;Dzmitry Bahdanau, Kyunghyun Cho, and Yoshua Bengio.
What is the title of the paper published in 2014?;learning to align and translate
Who are the authors of the paper published in 2017?;Denny Britz, Anna Goldie, Minh-Thang Luong, and Quoc V . Le
What is the title of the paper about machine reading?;Long short-term memory-networks for machine reading
